athlete_id,athlete_name,sex,age,height_cm,weight_kg,team,noc,year,city,sport,event,medal
1,Neymar Liu,M,22,174,54,Great Britain,GBR,1896,Athens,Athletics,100m Men,Gold
2,Ryan Zhang,M,24,171,76,Czech Republic,CZE,1896,Athens,Athletics,100m Men,Silver
3,Hans Brown,M,31,187,50,Netherlands,NED,1896,Athens,Athletics,100m Men,Bronze
4,Yuki Martin,M,28,176,74,United States,USA,1896,Athens,Athletics,200m Men,Gold
5,Mark Williams,M,21,178,68,New Zealand,NZL,1896,Athens,Athletics,200m Men,Silver
6,Usain Volkov,M,24,182,90,Soviet Union,USSR,1896,Athens,Athletics,200m Men,Bronze
7,Zhang Park,M,24,187,78,Poland,POL,1896,Athens,Athletics,400m Men,Gold
8,Zhang Osei,M,20,157,64,Soviet Union,USSR,1896,Athens,Athletics,400m Men,Silver
9,David Popov,M,22,184,82,Great Britain,GBR,1896,Athens,Athletics,400m Men,Bronze
10,Yuki Yamamoto,M,36,178,75,New Zealand,NZL,1896,Athens,Athletics,800m Men,Gold
11,Pierre Kim,M,22,170,74,Poland,POL,1896,Athens,Athletics,800m Men,Silver
12,Michael Biles,M,24,180,65,Netherlands,NED,1896,Athens,Athletics,800m Men,Bronze
13,Alexei Liu,M,25,184,72,Romania,ROU,1896,Athens,Athletics,1500m Men,Gold
14,James Lewis,M,22,162,81,Japan,JPN,1896,Athens,Athletics,1500m Men,Silver
15,Mark Johnson,M,27,174,79,Denmark,DEN,1896,Athens,Athletics,1500m Men,Bronze
16,Ivan Felix,M,28,176,73,Soviet Union,USSR,1896,Athens,Athletics,Marathon Men,Gold
17,Wei Tanaka,M,33,179,77,United States,USA,1896,Athens,Athletics,Marathon Men,Silver
18,Yuki Phelps,M,21,187,83,Romania,ROU,1896,Athens,Athletics,Marathon Men,Bronze
19,Elena Biles,F,31,166,56,Canada,CAN,1896,Athens,Athletics,100m Women,Gold
20,Mary Johnson,F,28,161,45,Japan,JPN,1896,Athens,Athletics,100m Women,Silver
21,Kim Kim,F,22,160,46,Germany,GER,1896,Athens,Athletics,100m Women,Bronze
22,Simone Tanaka,F,37,167,59,Sweden,SWE,1896,Athens,Athletics,200m Women,Gold
23,Liu Liu,F,18,164,60,Germany,GER,1896,Athens,Athletics,200m Women,Silver
24,Anna Johnson,F,35,176,70,Soviet Union,USSR,1896,Athens,Athletics,200m Women,Bronze
25,Dafne Zhang,F,29,157,74,Australia,AUS,1896,Athens,Athletics,400m Women,Gold
26,Elena Wang,F,20,157,60,France,FRA,1896,Athens,Athletics,400m Women,Silver
27,Mary Kim,F,22,160,60,Japan,JPN,1896,Athens,Athletics,400m Women,Bronze
28,Heike Tanaka,F,23,156,64,Finland,FIN,1896,Athens,Athletics,Marathon Women,Gold
29,Mary Park,F,28,163,56,United States,USA,1896,Athens,Athletics,Marathon Women,Silver
30,Birgit Chen,F,22,179,63,Australia,AUS,1896,Athens,Athletics,Marathon Women,Bronze
31,Wei Smith,M,30,176,68,Soviet Union,USSR,1896,Athens,Athletics,Long Jump Men,Gold
32,Li Fischer,M,22,175,76,Belgium,BEL,1896,Athens,Athletics,Long Jump Men,Silver
33,Sergei Zhang,M,29,189,80,Australia,AUS,1896,Athens,Athletics,Long Jump Men,Bronze
34,Mark Fischer,M,25,174,71,New Zealand,NZL,1896,Athens,Athletics,High Jump Men,Gold
35,Kento Tanaka,M,31,169,65,Germany,GER,1896,Athens,Athletics,High Jump Men,Silver
36,Kento Biles,M,30,193,76,Australia,AUS,1896,Athens,Athletics,High Jump Men,Bronze
37,Li Wang,M,25,181,88,Soviet Union,USSR,1896,Athens,Athletics,Shot Put Men,Gold
38,Yuki Johnson,M,20,180,66,Hungary,HUN,1896,Athens,Athletics,Shot Put Men,Silver
39,Li Thompson,M,26,173,73,New Zealand,NZL,1896,Athens,Athletics,Shot Put Men,Bronze
40,Neymar Chen,M,28,174,57,New Zealand,NZL,1896,Athens,Athletics,Decathlon,Gold
41,Zhang Kipchoge,M,30,172,81,Poland,POL,1896,Athens,Athletics,Decathlon,Silver
42,Boris Smith,M,21,168,64,Germany,GER,1896,Athens,Athletics,Decathlon,Bronze
43,Tatiana Liu,F,29,160,63,Germany,GER,1896,Athens,Athletics,Heptathlon,Gold
44,Kim Osei,F,27,160,58,Poland,POL,1896,Athens,Athletics,Heptathlon,Silver
45,Heike Chen,F,26,161,78,United States,USA,1896,Athens,Athletics,Heptathlon,Bronze
46,Sergei Osei,M,23,171,80,Germany,GER,1896,Athens,Swimming,100m Freestyle Men,Gold
